report_date,planned_turbines,turbine,area,severity,description,oem_notified,photo_count,finding_id
2026-08-18,"WTG01","T01","INSIDE BLADE ",,"2 m from Root – SS – Near TE",Có,0,8c9ed390-d694-4cd0-ae28-f5628998aee8
2026-08-18,"WTG01","T01","INSIDE BLADE ",,"No abnormalities are currently detected.",,0,0732455c-7303-423b-8712-ca0f87b2d550
2026-08-18,"WTG01","T01 ","INSIDE BLADE ",,"No abnormalities are currently detected.",,0,a421c0ec-94c3-4065-8658-94bd40b5f56c
2026-08-19,"WTG 02","WTG02","Blade: 000142-PR65.4P-53",1,"Crack was identified at R40 m, while a suspected crack was observed at R30 m, both on the Pressure Side (PS) near the Trailing Edge (TE).",,7,41413b2a-6784-41a6-9dd4-b82159dd7a2f
2026-08-19,"WTG 02","WTG 02","Blade: 000164-PR65.4P-53",4,"Crack on the Suction Side (SS) near the Leading Edge (LE) at R38.75 m from the blade root.",,2,88c31fc1-3823-4f75-b810-a1d36e08b03b
2026-08-19,"WTG 02","WTG02","Blade: 000167-PR65.4P-53",1,"The crack is located approximately R37.49 m from the blade root on the Pressure Side (PS).",,2,dbb69903-7416-488f-95c5-db3e9c4ca71f
2026-08-21,"WTG03","WTG03","blade ID: 000136-PR65.4P-53",,"Structural deformation and loss of the original geometry of the aft shear web at the Trailing Edge (TE).",,0,1917b74c-7650-4167-825c-a4c15fcdd551
2026-08-21,"WTG03","WTG03","blade ID: 000136-PR65.4P-53",3,"Multiple areas of glass fiber delamination were observed within 1 m of the root section on both the SS and PS surfaces.",,10,cabc712f-d377-4959-aa73-5a101eb2f981
2026-08-21,"WTG03","WTG03","blade ID: 000136-PR65.4P-53",3,"Glass fiber fracture observed at 7.8 m from the root on the SS surface, near the TE, with a length of approximately 20 cm.",,2,4195fb0b-8c5d-4f06-abac-6f55137f5773
2026-08-21,"WTG03","WTG03","blade ID: 000136-PR65.4P-53pp",3,"Fracture of the surface glass fiber laminate",,1,20dfd617-480a-4042-be81-7c3b8db4dde1
2026-08-21,"WTG03","WTG03","blade ID: 000146-PR65.4P-53",3,"Fiberglass fracture at approximately R22 m on the Leading Edge (LE).",,3,06edad8d-f10d-4042-bb91-1e46165838d7
2026-08-21,"WTG03","WTG03","blade ID: 000147-PR65.4P-53",3,"Suspected surface spalling",,1,74d74ebb-2940-4882-87f3-dc9fbe672746
2026-08-21,"WTG03","WTG03","blade ID: 000147-PR65.4P-53",3,"Fiberglass fracture on the Leading Edge (LE) at R42.29 m from the root.",,1,07052038-7835-4875-a900-884910937c02
2026-08-22,"WTG 04","WTG 04","Blade ID: 000139-PR65.4P-53",3,"Bulkhead damage.",,2,e179c8fd-0997-4663-88b4-597ec7deeffa
2026-08-22,"WTG 04","WTG 04","Blade ID: 000140-PR65.4P-53",4,"Crack and glass fiber delamination at R36.18 m on the Pressure Side (PS), near the Trailing Edge (TE).",,2,acb300a2-8d6e-4774-8d12-eba498b52125
2026-08-22,"WTG 04","WTG 04","Blade ID: 000140-PR65.4P-53",4,"Missing structural adhesive at 6.5 m from the root, along the Leading Edge (LE), with a length of 2.5 m",,10,756d39da-84b7-4422-8d05-8f6c32d3dbbb
2026-08-22,"WTG 04","WTG 04","Blade ID: 000150-PR65.4P-53",4,"Shear web crack at R34.0–37.5 m, near the Trailing Edge (TE).",,7,6563f2a4-e33e-4035-a7fa-db433fce4b75
2026-08-24,"WTG 05","WTG 05","Blade ID: 000052-PR65.4P-53",,"No defects above Severity 2.",,0,0a05af5c-0d40-45f8-8de1-b59f0fe88b72
2026-08-24,"WTG 05","WTG 05","Blade ID: 000133-PR65.4P-53",,"No defects above Severity 2.",,0,1e3d8a8f-cdff-44cc-ac2a-15a3723ccab2
2026-08-24,"WTG 05","WTG 05","Blade ID: 000151-PR65.4P-53",3,"Glass fiber breakage/damage at R12.3 m from the root on the Suction Side (SS), near the Leading Edge (LE), with a damaged area of approximately 18 × 20 cm",Không,3,ed7c82cd-3961-4c6e-8e50-3cb47d8727ca
2026-08-25,"WTG 06","WTG 06","Blade ID: 000134-PR65.4P-53",4,"Glass fiber breakage at R26.78 m from the root on the Suction Side (SS), near the Trailing Edge (TE).",,4,e809d64d-f80c-402d-ab70-765d0244f28e
2026-08-25,"WTG 06","WTG 06","Blade ID: 000134-PR65.4P-53",3,"Glass fiber breakage at R21 m from the root on the Suction Side (SS), near the Trailing Edge (TE).",,2,c2437eaa-a718-4419-a452-9e1c96cdc2da
2026-08-25,"WTG 06","WTG 06","Blade ID: 000141-PR65.4P-53",2,"Suspected crack at R37 m from the root on the Suction Side (SS), near the Trailing Edge (TE).",,3,012c3421-0395-4704-9ae4-1375237d17d8
2026-08-25,"WTG 06","WTG 06","Blade ID: 000159-PR65.4P-53",3,"Glass fiber delamination at R19 m on the Pressure Side (PS), near the Leading Edge (LE).",,1,67db17f9-989d-44f0-80da-0f9d2f2635d8
2026-08-25,"WTG 06","WTG 06","Blade ID: 000159-PR65.4P-53",3,"Multiple areas of missing structural adhesive along the Leading Edge (LE)",,2,aeba0ebe-ffa8-4d99-9309-2ac92f43e053
2026-08-26,"WTG 07","WTG 07","Blade ID: 000114-PR65.4P-53",2,"Laminate peeling and exposed glass fibers at R36 m from the root along the Leading Edge (LE).",,5,c4c5283b-9af7-4017-862e-d9f66aeed474
2026-08-26,"WTG 07","WTG 07","Blade ID: 000153-PR65.4P-53",2,"Damage to the shear web-to-shell adhesive bond at R10 m from the root, near the Trailing Edge (TE)",,2,e3df652e-7fa4-4f42-9a27-2ee861440857
2026-08-27,"WTG 09","WTG 09","Blade ID: 000173-PR65.4P",1,"Laminate crack at approximately R22 m from the root on the Suction Side (SS), near the Trailing Edge (TE).",,4,51406813-5e88-4dae-b2a9-41c0701afaa4
2026-08-27,"WTG 09","WTG 09","Blade ID: 000173-PR65.4P",3,"Laminate crack at approximately R18 m from the root on the Suction Side (SS), near the Trailing Edge (TE).",,3,1948d802-121a-4694-9dc1-9f4b8997377b
2026-08-28,"WTG 19","","WTG19-Blade ID: 000138-PR65.4P-53",2,"Laminate surface damage with fiberglass exposure at approximately R9.6 m from the root on the Suction Side (SS), near the Leading Edge (LE)",,2,ca0d129c-132f-4ee8-b503-0cf3638479a1
2026-08-28,"WTG 19","","WTG19-Blade ID: 000165-PR65.4P-53",3,"Fiberglass delamination at approximately R11 m from the root on the Suction Side (SS), near the Leading Edge (LE).",,2,58bc4b0a-6a58-4692-a48f-bd2baf8eed3c
2026-08-28,"WTG 19","","WTG19-Blade ID: 000165-PR65.4P-53",3,"Fiberglass fracture at R30 m from the root on the Suction Side (SS), near the Trailing Edge (TE).",,2,3fb0ccba-1b1c-4898-8c9e-3a9d0c60ae64
2026-08-28,"WTG 19","","WTG19-Blade ID: 000165-PR65.4P-53",2,"Suspected fiberglass fracture at approximately R33.5 m from the root on the Suction Side (SS), near the Trailing Edge (TE).",,1,eb72c04d-a6c0-40a5-892a-ec68cb8ff060
